Task_ID,Title,Description,Assignee,Created_Date,Due_Date,Completed_Date,Status,Priority,Estimated_Hours,Actual_Hours,Project,Labels/Tags,Task_Complexity,Predicted_Priority,Delay_Risk_Score,Completion_Probability,AI_Recommendation
326,UI Design,Backend API task for Data Analytics project.,Bob,17/06/2024,24/06/2024,,In Progress,Low,15,16,Data Analytics,AI,High,High,0.45,0.55,Increase resources for faster completion
327,Bug Fix,Testing task for AI Task Manager project.,Ethan,24/10/2024,13/11/2024,13/11/2024,Completed,Critical,19,22,Smart Workflow,database,Medium,Medium,0.38,0.62,Automate repetitive sub-tasks
328,UI Design,Testing task for AI Task Manager project.,George,25/03/2024,31/03/2024,,Completed,Critical,11,13,Smart Workflow,frontend,Low,High,0.99,0.01,Reassign to experienced member
329,UI Design,UI Design task for Productivity Suite project.,Diana,21/09/2024,01/10/2024,,In Progress,Critical,11,9,AI Task Manager,backend,Low,Critical,0.95,0.05,Automate repetitive sub-tasks
330,Backend API,User Feedback Integration task for AI Task Manager project.,George,20/08/2024,07/09/2024,,On Hold,Low,5,8,Automation Bot,frontend,High,Medium,0.71,0.29,Maintain current workflow efficiency
331,Model Training,Model Training task for Smart Workflow project.,Fiona,06/08/2024,15/08/2024,15/08/2024,Completed,High,6,11,AI Task Manager,testing,High,Critical,0.04,0.96,Reassign to experienced member
332,Bug Fix,Data Analysis task for Automation Bot project.,Alice,05/01/2024,17/01/2024,17/01/2024,Completed,Low,5,3,Productivity Suite,ML,High,Medium,0.84,0.16,Increase resources for faster completion
333,Model Training,Documentation task for Productivity Suite project.,Fiona,16/07/2024,04/08/2024,04/08/2024,Completed,High,15,13,Data Analytics,testing,High,Medium,0.13,0.87,Review task dependencies
334,Documentation,Model Training task for Data Analytics project.,Hannah,22/04/2024,13/05/2024,13/05/2024,Completed,Low,15,16,Data Analytics,testing,High,Low,0.5,0.5,Increase resources for faster completion
335,UI Design,User Feedback Integration task for Data Analytics project.,Fiona,19/07/2024,03/08/2024,03/08/2024,Completed,Medium,13,13,Automation Bot,frontend,High,Critical,0.43,0.57,Increase resources for faster completion
336,Bug Fix,Documentation task for Data Analytics project.,Fiona,20/11/2024,08/12/2024,,On Hold,Low,11,12,Productivity Suite,backend,Medium,High,0.1,0.9,Reassign to experienced member
337,Documentation,Data Analysis task for Data Analytics project.,Diana,21/04/2024,26/04/2024,26/04/2024,Completed,Low,15,13,Smart Workflow,ML,Low,Critical,0.58,0.42,Reassign to experienced member
338,Bug Fix,Testing task for Automation Bot project.,George,02/12/2024,09/12/2024,,In Progress,High,6,5,Automation Bot,integration,Medium,High,0.38,0.62,Review task dependencies
339,User Feedback Integration,Documentation task for Data Analytics project.,Diana,02/02/2024,14/02/2024,14/02/2024,Completed,Critical,16,15,Automation Bot,ML,High,High,0.85,0.15,Automate repetitive sub-tasks
340,UI Design,UI Design task for Data Analytics project.,Ethan,25/12/2024,09/01/2025,09/01/2025,Completed,Medium,12,11,Automation Bot,database,Low,Low,0.26,0.74,Reassign to experienced member
341,Bug Fix,Model Training task for Smart Workflow project.,Hannah,16/03/2024,07/04/2024,07/04/2024,Completed,Critical,6,11,AI Task Manager,backend,Low,High,0.37,0.63,Maintain current workflow efficiency
342,Testing,Data Analysis task for Smart Workflow project.,Fiona,06/06/2024,27/06/2024,27/06/2024,Completed,High,14,13,Data Analytics,ML,Low,Medium,0.23,0.77,Review task dependencies
343,UI Design,User Feedback Integration task for Smart Workflow project.,Ethan,15/05/2024,07/06/2024,07/06/2024,Completed,High,12,14,Automation Bot,integration,High,Critical,0.15,0.85,Maintain current workflow efficiency
344,User Feedback Integration,Bug Fix task for AI Task Manager project.,Bob,08/03/2024,25/03/2024,25/03/2024,Completed,Medium,20,19,Smart Workflow,frontend,Medium,Critical,0.7,0.3,Reassign to experienced member
345,Data Analysis,Backend API task for Data Analytics project.,Hannah,11/06/2024,30/06/2024,30/06/2024,Completed,Critical,19,19,Automation Bot,testing,High,Medium,0.44,0.56,Maintain current workflow efficiency
346,Documentation,Data Analysis task for Productivity Suite project.,Fiona,06/11/2024,29/11/2024,29/11/2024,Completed,High,8,11,Smart Workflow,database,Medium,Medium,0.61,0.39,Reassign to experienced member
347,Documentation,Bug Fix task for Automation Bot project.,Charlie,19/02/2024,25/02/2024,25/02/2024,Completed,Low,19,21,Data Analytics,NLP,Medium,Critical,0.13,0.87,Maintain current workflow efficiency
348,Data Analysis,User Feedback Integration task for Data Analytics project.,Bob,13/10/2024,02/11/2024,,On Hold,Critical,10,15,Data Analytics,NLP,Low,High,0.95,0.05,Reassign to experienced member
349,User Feedback Integration,Data Analysis task for Data Analytics project.,Fiona,08/06/2024,28/06/2024,,Completed,High,6,4,Smart Workflow,ML,High,High,0.29,0.71,Increase resources for faster completion
350,Backend API,User Feedback Integration task for Smart Workflow project.,Diana,04/03/2024,17/03/2024,17/03/2024,Completed,Critical,9,7,Smart Workflow,frontend,Medium,High,0.49,0.51,Maintain current workflow efficiency
351,Model Training,Testing task for Smart Workflow project.,Fiona,03/08/2024,25/08/2024,25/08/2024,Completed,Critical,7,10,Data Analytics,frontend,Medium,High,0.31,0.69,Review task dependencies
352,Documentation,Data Analysis task for AI Task Manager project.,Ethan,05/03/2024,11/03/2024,11/03/2024,Completed,Medium,17,19,Smart Workflow,integration,Low,High,0.9,0.1,Reassign to experienced member
353,Bug Fix,UI Design task for Automation Bot project.,Alice,20/11/2024,05/12/2024,05/12/2024,Completed,Low,15,13,Productivity Suite,backend,High,High,0.56,0.44,Maintain current workflow efficiency
354,Backend API,Testing task for AI Task Manager project.,George,04/10/2024,29/10/2024,29/10/2024,Completed,Medium,16,21,Productivity Suite,testing,Medium,Low,0.46,0.54,Maintain current workflow efficiency
355,Data Analysis,Backend API task for Automation Bot project.,Bob,10/05/2024,27/05/2024,,On Hold,High,17,15,Smart Workflow,integration,High,Medium,0.66,0.34,Reassign to experienced member
356,Model Training,Data Analysis task for Smart Workflow project.,Bob,04/07/2024,21/07/2024,21/07/2024,Completed,Low,11,9,Smart Workflow,frontend,Medium,High,0.85,0.15,Reassign to experienced member
357,Bug Fix,Data Analysis task for Productivity Suite project.,Fiona,10/03/2024,22/03/2024,22/03/2024,Completed,Critical,6,11,Data Analytics,frontend,Low,Medium,0.02,0.98,Review task dependencies
358,Backend API,Documentation task for AI Task Manager project.,Alice,22/07/2024,16/08/2024,16/08/2024,Completed,High,10,13,AI Task Manager,integration,Low,Medium,0.59,0.41,Increase resources for faster completion
359,Testing,Backend API task for AI Task Manager project.,Ethan,09/12/2024,13/12/2024,,On Hold,Critical,11,9,Automation Bot,integration,Low,Critical,0.47,0.53,Increase resources for faster completion
360,Data Analysis,UI Design task for Smart Workflow project.,Charlie,03/03/2024,13/03/2024,13/03/2024,Completed,Medium,2,6,Automation Bot,integration,High,Medium,0.07,0.93,Automate repetitive sub-tasks
361,Backend API,Testing task for Productivity Suite project.,Diana,08/01/2024,24/01/2024,24/01/2024,Completed,High,11,16,AI Task Manager,NLP,Low,Critical,0.94,0.06,Automate repetitive sub-tasks
362,Model Training,UI Design task for Productivity Suite project.,Charlie,26/04/2024,20/05/2024,,In Progress,Low,18,18,Data Analytics,backend,High,Low,0.75,0.25,Review task dependencies
363,Documentation,User Feedback Integration task for Smart Workflow project.,Hannah,12/04/2024,07/05/2024,07/05/2024,Completed,Medium,17,17,Automation Bot,database,High,Critical,0.17,0.83,Reassign to experienced member
364,Bug Fix,Documentation task for Data Analytics project.,Bob,15/11/2024,01/12/2024,01/12/2024,Completed,Critical,19,17,Productivity Suite,ML,Low,High,0.08,0.92,Review task dependencies
365,Backend API,UI Design task for Productivity Suite project.,Diana,11/04/2024,02/05/2024,,On Hold,Medium,13,16,Data Analytics,ML,Medium,Low,0.54,0.46,Automate repetitive sub-tasks
366,Bug Fix,Backend API task for Automation Bot project.,George,07/02/2024,22/02/2024,,In Progress,High,8,7,Data Analytics,NLP,Low,Critical,0.25,0.75,Reassign to experienced member
367,Model Training,Backend API task for AI Task Manager project.,Fiona,09/09/2024,13/09/2024,,Completed,Medium,19,24,Productivity Suite,NLP,Low,High,0.9,0.1,Review task dependencies
368,Documentation,Bug Fix task for Automation Bot project.,Diana,27/09/2024,15/10/2024,15/10/2024,Completed,Critical,20,25,Data Analytics,testing,Medium,Critical,0.46,0.54,Automate repetitive sub-tasks
369,Testing,UI Design task for Smart Workflow project.,Bob,20/04/2024,23/04/2024,23/04/2024,Completed,Critical,3,7,Productivity Suite,database,Medium,High,0.99,0.01,Reassign to experienced member
370,Documentation,Documentation task for Data Analytics project.,Fiona,23/10/2024,11/11/2024,11/11/2024,Completed,Low,5,5,Data Analytics,testing,Medium,High,0.83,0.17,Increase resources for faster completion
371,UI Design,Bug Fix task for AI Task Manager project.,Ethan,24/03/2024,09/04/2024,09/04/2024,Completed,Low,16,18,AI Task Manager,database,High,Medium,0.91,0.09,Increase resources for faster completion
372,Bug Fix,Backend API task for Automation Bot project.,Bob,27/09/2024,21/10/2024,,Completed,Critical,14,12,Data Analytics,integration,Low,Medium,0.03,0.97,Reassign to experienced member
373,Testing,Testing task for Smart Workflow project.,Fiona,23/12/2024,06/01/2025,,Completed,Medium,18,23,Automation Bot,backend,Low,Critical,0.39,0.61,Maintain current workflow efficiency
374,Data Analysis,Testing task for AI Task Manager project.,Fiona,16/11/2024,27/11/2024,27/11/2024,Completed,Medium,3,6,Data Analytics,AI,High,Critical,0.48,0.52,Maintain current workflow efficiency
375,Data Analysis,Bug Fix task for Productivity Suite project.,Charlie,15/02/2024,23/02/2024,23/02/2024,Completed,Low,13,11,Smart Workflow,testing,Low,Medium,0.11,0.89,Reassign to experienced member
376,Testing,Data Analysis task for Data Analytics project.,Bob,21/12/2024,31/12/2024,31/12/2024,Completed,Medium,17,16,Productivity Suite,ML,High,Low,0.54,0.46,Maintain current workflow efficiency
377,Data Analysis,Backend API task for Automation Bot project.,Fiona,06/01/2024,14/01/2024,,In Progress,Medium,20,18,Productivity Suite,integration,Medium,Critical,0.43,0.57,Automate repetitive sub-tasks
378,Model Training,Model Training task for Productivity Suite project.,Ethan,20/03/2024,24/03/2024,24/03/2024,Completed,Medium,19,20,Automation Bot,AI,High,Medium,0.89,0.11,Reassign to experienced member
379,Documentation,Backend API task for Automation Bot project.,Hannah,10/12/2024,27/12/2024,27/12/2024,Completed,Medium,7,10,Productivity Suite,testing,Low,High,0.5,0.5,Automate repetitive sub-tasks
380,Testing,Backend API task for AI Task Manager project.,Alice,07/09/2024,15/09/2024,15/09/2024,Completed,Low,9,7,Automation Bot,frontend,High,High,0.18,0.82,Automate repetitive sub-tasks
381,Model Training,Model Training task for Smart Workflow project.,George,15/11/2024,30/11/2024,,To Do,High,15,17,AI Task Manager,integration,High,Medium,0.03,0.97,Maintain current workflow efficiency
382,Backend API,Documentation task for Data Analytics project.,Charlie,03/01/2024,21/01/2024,,On Hold,Low,8,10,Smart Workflow,database,Medium,Low,0.36,0.64,Maintain current workflow efficiency
383,Backend API,Model Training task for Productivity Suite project.,George,10/07/2024,28/07/2024,28/07/2024,Completed,High,20,25,Smart Workflow,database,Medium,Low,0.98,0.02,Increase resources for faster completion
384,Model Training,Testing task for AI Task Manager project.,Charlie,06/08/2024,21/08/2024,21/08/2024,Completed,Low,14,15,AI Task Manager,frontend,High,Low,0.27,0.73,Increase resources for faster completion
385,User Feedback Integration,Testing task for AI Task Manager project.,Ethan,25/07/2024,16/08/2024,16/08/2024,Completed,Medium,14,12,Smart Workflow,database,High,Low,0.4,0.6,Automate repetitive sub-tasks
386,Documentation,Testing task for Data Analytics project.,Ethan,10/02/2024,27/02/2024,,In Progress,Critical,19,24,Productivity Suite,frontend,Low,Low,0.36,0.64,Reassign to experienced member
387,Data Analysis,Bug Fix task for AI Task Manager project.,Ethan,25/12/2024,14/01/2025,14/01/2025,Completed,Low,3,8,Data Analytics,AI,Medium,High,0.84,0.16,Maintain current workflow efficiency
388,User Feedback Integration,Backend API task for Productivity Suite project.,Alice,28/08/2024,01/09/2024,,In Progress,Medium,17,21,Data Analytics,NLP,Low,Medium,0.34,0.66,Review task dependencies
389,Model Training,UI Design task for Automation Bot project.,Bob,19/02/2024,13/03/2024,13/03/2024,Completed,Critical,18,20,Data Analytics,integration,High,Medium,0.31,0.69,Reassign to experienced member
390,Data Analysis,Bug Fix task for Productivity Suite project.,Bob,26/03/2024,09/04/2024,,In Progress,Medium,4,2,Automation Bot,backend,Medium,Medium,0.66,0.34,Review task dependencies
391,Model Training,Model Training task for Data Analytics project.,Ethan,17/08/2024,31/08/2024,31/08/2024,Completed,Medium,8,10,Smart Workflow,ML,High,High,0.5,0.5,Increase resources for faster completion
392,Testing,User Feedback Integration task for Data Analytics project.,Alice,07/10/2024,27/10/2024,,On Hold,Low,18,23,AI Task Manager,database,Low,Critical,0.98,0.02,Reassign to experienced member
393,Documentation,UI Design task for Automation Bot project.,Diana,11/09/2024,17/09/2024,17/09/2024,Completed,High,2,3,AI Task Manager,NLP,Low,High,0.87,0.13,Reassign to experienced member
394,Backend API,UI Design task for Productivity Suite project.,Charlie,08/01/2024,01/02/2024,,In Progress,Critical,13,17,Productivity Suite,backend,High,Medium,0.85,0.15,Reassign to experienced member
395,Bug Fix,Data Analysis task for Data Analytics project.,Diana,18/09/2024,05/10/2024,05/10/2024,Completed,Low,2,1,Automation Bot,NLP,Medium,High,0.1,0.9,Automate repetitive sub-tasks
396,Model Training,Backend API task for Data Analytics project.,Ethan,23/06/2024,09/07/2024,,On Hold,Low,2,4,Smart Workflow,backend,Medium,Medium,0.51,0.49,Maintain current workflow efficiency
397,Documentation,User Feedback Integration task for Smart Workflow project.,Bob,22/08/2024,07/09/2024,07/09/2024,Completed,Low,20,20,Automation Bot,AI,Medium,High,0.66,0.34,Maintain current workflow efficiency
398,Bug Fix,Data Analysis task for Productivity Suite project.,Fiona,19/12/2024,04/01/2025,04/01/2025,Completed,Medium,19,18,Data Analytics,NLP,High,Critical,0.74,0.26,Increase resources for faster completion
399,Documentation,User Feedback Integration task for Automation Bot project.,Bob,22/09/2024,04/10/2024,04/10/2024,Completed,Critical,15,13,Data Analytics,AI,Low,High,0.72,0.28,Maintain current workflow efficiency
400,Testing,Documentation task for AI Task Manager project.,Diana,15/06/2024,18/06/2024,18/06/2024,Completed,Critical,8,9,Productivity Suite,database,Medium,High,0.11,0.89,Increase resources for faster completion
401,UI Design,Testing task for Data Analytics project.,Charlie,25/08/2024,28/08/2024,,To Do,Medium,7,7,Data Analytics,testing,Low,Medium,0.92,0.08,Automate repetitive sub-tasks
402,Bug Fix,Model Training task for AI Task Manager project.,Alice,14/12/2024,08/01/2025,,To Do,Low,3,2,Productivity Suite,frontend,High,Critical,0.12,0.88,Increase resources for faster completion
403,User Feedback Integration,Documentation task for Data Analytics project.,Ethan,25/09/2024,28/09/2024,28/09/2024,Completed,Critical,6,11,AI Task Manager,ML,Low,Critical,0.45,0.55,Maintain current workflow efficiency
404,UI Design,Backend API task for Automation Bot project.,Charlie,06/12/2024,14/12/2024,,In Progress,Low,18,21,Data Analytics,AI,High,High,0.74,0.26,Maintain current workflow efficiency
405,Data Analysis,UI Design task for Automation Bot project.,Bob,11/03/2024,26/03/2024,,Completed,High,6,6,Data Analytics,backend,Low,Medium,0.69,0.31,Review task dependencies
406,Documentation,Data Analysis task for Automation Bot project.,Bob,15/11/2024,30/11/2024,30/11/2024,Completed,Low,5,3,Automation Bot,frontend,Low,High,0.49,0.51,Reassign to experienced member
407,Testing,Bug Fix task for Smart Workflow project.,George,18/07/2024,24/07/2024,,To Do,Low,15,16,Smart Workflow,AI,Low,Low,0.45,0.55,Maintain current workflow efficiency
408,Documentation,Model Training task for Data Analytics project.,Ethan,22/12/2024,26/12/2024,26/12/2024,Completed,Critical,12,14,Productivity Suite,ML,Low,Low,0.48,0.52,Maintain current workflow efficiency
409,Documentation,Documentation task for AI Task Manager project.,Charlie,25/10/2024,30/10/2024,30/10/2024,Completed,Low,17,20,Productivity Suite,ML,High,Low,0.53,0.47,Maintain current workflow efficiency
410,Data Analysis,Documentation task for Automation Bot project.,Bob,14/10/2024,23/10/2024,,In Progress,High,2,1,Automation Bot,integration,Medium,Medium,0.55,0.45,Increase resources for faster completion
411,User Feedback Integration,UI Design task for AI Task Manager project.,Alice,18/04/2024,01/05/2024,01/05/2024,Completed,High,3,7,Automation Bot,NLP,Low,High,0.16,0.84,Increase resources for faster completion
412,Bug Fix,Documentation task for Smart Workflow project.,Hannah,07/09/2024,19/09/2024,19/09/2024,Completed,Low,3,7,Automation Bot,integration,Medium,Critical,0.01,0.99,Maintain current workflow efficiency
413,UI Design,Backend API task for Productivity Suite project.,Charlie,20/10/2024,06/11/2024,06/11/2024,Completed,Critical,7,11,Automation Bot,NLP,Medium,Low,0.62,0.38,Increase resources for faster completion
414,Documentation,Data Analysis task for AI Task Manager project.,Charlie,19/10/2024,24/10/2024,,In Progress,Low,15,19,AI Task Manager,ML,Low,Low,0.91,0.09,Review task dependencies
415,Bug Fix,UI Design task for Smart Workflow project.,Diana,19/01/2024,05/02/2024,05/02/2024,Completed,High,7,9,Smart Workflow,frontend,Low,Low,0.91,0.09,Maintain current workflow efficiency
416,Testing,UI Design task for Smart Workflow project.,Diana,12/12/2024,04/01/2025,04/01/2025,Completed,Medium,20,25,Productivity Suite,testing,High,Medium,0.47,0.53,Reassign to experienced member
417,Backend API,Documentation task for Data Analytics project.,Hannah,07/06/2024,17/06/2024,,Completed,Critical,16,20,Automation Bot,database,High,High,0.15,0.85,Automate repetitive sub-tasks
418,Backend API,Data Analysis task for Productivity Suite project.,Charlie,14/02/2024,17/02/2024,17/02/2024,Completed,Critical,2,1,Data Analytics,database,Medium,High,0.26,0.74,Increase resources for faster completion
419,Backend API,Data Analysis task for Smart Workflow project.,George,06/03/2024,29/03/2024,,Completed,Low,3,6,Smart Workflow,backend,Low,Medium,0.31,0.69,Automate repetitive sub-tasks
420,Backend API,User Feedback Integration task for Productivity Suite project.,Hannah,20/11/2024,11/12/2024,11/12/2024,Completed,Medium,18,18,Automation Bot,AI,Low,Medium,0.19,0.81,Maintain current workflow efficiency
421,Data Analysis,User Feedback Integration task for Data Analytics project.,George,09/02/2024,16/02/2024,16/02/2024,Completed,High,6,5,Smart Workflow,database,High,High,0.78,0.22,Increase resources for faster completion
422,Backend API,Data Analysis task for Productivity Suite project.,Charlie,14/01/2024,06/02/2024,06/02/2024,Completed,Low,2,1,Productivity Suite,NLP,Low,Critical,0.49,0.51,Reassign to experienced member
423,Model Training,Data Analysis task for Smart Workflow project.,Bob,04/09/2024,25/09/2024,,Completed,Critical,18,21,AI Task Manager,database,Low,Medium,0.75,0.25,Review task dependencies
424,Model Training,Documentation task for Automation Bot project.,Charlie,01/01/2024,18/01/2024,18/01/2024,Completed,Low,16,15,Smart Workflow,integration,Low,Low,0.17,0.83,Review task dependencies
425,User Feedback Integration,Model Training task for Automation Bot project.,Charlie,04/05/2024,24/05/2024,,Completed,Medium,18,22,Automation Bot,ML,High,Medium,0.58,0.42,Increase resources for faster completion
426,User Feedback Integration,Documentation task for Productivity Suite project.,Bob,25/06/2024,30/06/2024,30/06/2024,Completed,Medium,17,19,Smart Workflow,backend,Medium,Low,0.65,0.35,Automate repetitive sub-tasks
427,User Feedback Integration,UI Design task for Automation Bot project.,Diana,08/07/2024,13/07/2024,,Completed,Medium,18,17,Smart Workflow,testing,Low,Medium,0.51,0.49,Reassign to experienced member
428,Documentation,Data Analysis task for Data Analytics project.,Ethan,26/05/2024,07/06/2024,07/06/2024,Completed,Low,11,15,AI Task Manager,AI,Low,Medium,0.5,0.5,Reassign to experienced member
429,UI Design,Model Training task for Productivity Suite project.,George,02/03/2024,19/03/2024,19/03/2024,Completed,Medium,20,23,Productivity Suite,database,High,Critical,0.54,0.46,Maintain current workflow efficiency
430,Testing,Documentation task for AI Task Manager project.,Ethan,05/03/2024,14/03/2024,14/03/2024,Completed,Medium,16,16,Smart Workflow,NLP,Medium,Critical,0.68,0.32,Review task dependencies
431,Model Training,Data Analysis task for Smart Workflow project.,Alice,14/01/2024,05/02/2024,05/02/2024,Completed,Critical,10,11,Smart Workflow,AI,High,High,0.62,0.38,Review task dependencies
432,Data Analysis,Model Training task for Automation Bot project.,Ethan,02/09/2024,09/09/2024,09/09/2024,Completed,High,20,18,AI Task Manager,database,Low,Critical,0.77,0.23,Increase resources for faster completion
433,Testing,Data Analysis task for Smart Workflow project.,Alice,10/07/2024,16/07/2024,,In Progress,Medium,19,20,Automation Bot,database,Low,Medium,0.09,0.91,Automate repetitive sub-tasks
434,Testing,User Feedback Integration task for Productivity Suite project.,Alice,02/02/2024,17/02/2024,17/02/2024,Completed,Low,5,3,AI Task Manager,ML,Low,Critical,0.71,0.29,Automate repetitive sub-tasks
435,UI Design,Testing task for Data Analytics project.,Bob,19/06/2024,13/07/2024,13/07/2024,Completed,High,16,19,Productivity Suite,AI,Medium,High,0.72,0.28,Reassign to experienced member
436,Backend API,Documentation task for AI Task Manager project.,Diana,12/02/2024,20/02/2024,20/02/2024,Completed,Critical,9,8,Automation Bot,database,Medium,High,0.77,0.23,Automate repetitive sub-tasks
437,Bug Fix,UI Design task for Productivity Suite project.,Ethan,19/08/2024,05/09/2024,,To Do,Medium,17,21,AI Task Manager,frontend,High,Low,0.58,0.42,Automate repetitive sub-tasks
438,Testing,User Feedback Integration task for Data Analytics project.,George,09/03/2024,29/03/2024,,To Do,High,9,12,Smart Workflow,frontend,High,Medium,0.7,0.3,Increase resources for faster completion
439,Backend API,Model Training task for Automation Bot project.,Bob,06/04/2024,20/04/2024,,In Progress,Medium,11,13,Automation Bot,ML,Low,Critical,0.11,0.89,Automate repetitive sub-tasks
440,Model Training,Backend API task for Productivity Suite project.,Diana,10/01/2024,15/01/2024,15/01/2024,Completed,High,15,15,Automation Bot,integration,High,Low,0.24,0.76,Increase resources for faster completion
441,Testing,Data Analysis task for Productivity Suite project.,Fiona,13/08/2024,20/08/2024,,Completed,Critical,5,7,Automation Bot,ML,Low,Medium,0.14,0.86,Review task dependencies
442,UI Design,Data Analysis task for Automation Bot project.,Diana,25/10/2024,01/11/2024,,In Progress,Low,8,6,Smart Workflow,backend,Low,Low,0.49,0.51,Increase resources for faster completion
443,Data Analysis,Data Analysis task for Data Analytics project.,Ethan,21/01/2024,13/02/2024,,In Progress,High,12,13,AI Task Manager,testing,Low,Medium,0.75,0.25,Increase resources for faster completion
444,Model Training,User Feedback Integration task for Smart Workflow project.,Hannah,15/04/2024,10/05/2024,10/05/2024,Completed,Low,12,16,Data Analytics,ML,Low,High,0.4,0.6,Reassign to experienced member
445,UI Design,Backend API task for Smart Workflow project.,George,15/02/2024,01/03/2024,01/03/2024,Completed,Low,6,6,Data Analytics,testing,High,Critical,0.7,0.3,Reassign to experienced member
446,Model Training,User Feedback Integration task for Productivity Suite project.,Fiona,23/09/2024,05/10/2024,05/10/2024,Completed,Medium,17,22,Smart Workflow,frontend,Low,Critical,0.25,0.75,Maintain current workflow efficiency
447,Data Analysis,User Feedback Integration task for Automation Bot project.,Diana,21/12/2024,01/01/2025,,In Progress,High,18,16,Productivity Suite,ML,Medium,Low,0.66,0.34,Increase resources for faster completion
448,Model Training,Data Analysis task for AI Task Manager project.,Alice,10/12/2024,27/12/2024,27/12/2024,Completed,High,15,15,AI Task Manager,NLP,High,Low,0.65,0.35,Review task dependencies
449,Testing,Data Analysis task for Productivity Suite project.,Hannah,25/08/2024,04/09/2024,04/09/2024,Completed,Low,15,15,Productivity Suite,testing,Low,Low,0.76,0.24,Automate repetitive sub-tasks
450,Bug Fix,User Feedback Integration task for Smart Workflow project.,Alice,09/03/2024,18/03/2024,,On Hold,Critical,6,10,Automation Bot,database,High,Medium,0.13,0.87,Reassign to experienced member
451,Documentation,Testing task for Automation Bot project.,George,07/04/2024,30/04/2024,,In Progress,Low,19,19,AI Task Manager,NLP,Medium,Critical,0.07,0.93,Reassign to experienced member
452,Bug Fix,User Feedback Integration task for Automation Bot project.,Charlie,07/12/2024,27/12/2024,27/12/2024,Completed,High,16,19,Data Analytics,frontend,High,High,0.09,0.91,Automate repetitive sub-tasks
453,Data Analysis,Backend API task for AI Task Manager project.,Fiona,15/02/2024,05/03/2024,05/03/2024,Completed,Medium,5,6,Smart Workflow,database,Low,Critical,0.72,0.28,Reassign to experienced member
454,Bug Fix,UI Design task for Productivity Suite project.,Alice,04/11/2024,27/11/2024,,In Progress,Critical,7,12,AI Task Manager,database,High,Low,0.9,0.1,Review task dependencies
455,UI Design,Data Analysis task for Automation Bot project.,Bob,08/03/2024,20/03/2024,20/03/2024,Completed,High,6,8,Data Analytics,frontend,High,Medium,0.55,0.45,Reassign to experienced member
456,User Feedback Integration,Backend API task for Smart Workflow project.,Ethan,20/12/2024,01/01/2025,01/01/2025,Completed,High,5,3,Productivity Suite,testing,Low,High,0.58,0.42,Maintain current workflow efficiency
457,Backend API,Testing task for Productivity Suite project.,Ethan,05/03/2024,15/03/2024,,To Do,High,19,22,AI Task Manager,NLP,Low,High,0.11,0.89,Increase resources for faster completion
458,Bug Fix,Bug Fix task for Automation Bot project.,Hannah,02/07/2024,27/07/2024,27/07/2024,Completed,Medium,6,8,AI Task Manager,ML,Low,Medium,0.06,0.94,Review task dependencies
459,Model Training,UI Design task for Productivity Suite project.,Fiona,08/05/2024,15/05/2024,15/05/2024,Completed,Medium,17,19,AI Task Manager,AI,High,Critical,0.04,0.96,Maintain current workflow efficiency
460,Bug Fix,Testing task for Smart Workflow project.,Alice,24/10/2024,29/10/2024,29/10/2024,Completed,High,2,3,Data Analytics,NLP,High,Medium,0.54,0.46,Review task dependencies
461,Data Analysis,User Feedback Integration task for Automation Bot project.,Bob,24/09/2024,07/10/2024,,On Hold,High,5,3,Automation Bot,database,Medium,Medium,0.77,0.23,Review task dependencies
462,Data Analysis,Backend API task for Productivity Suite project.,Diana,26/01/2024,16/02/2024,,In Progress,Critical,3,7,Smart Workflow,database,Low,Medium,0.87,0.13,Reassign to experienced member
463,User Feedback Integration,Documentation task for AI Task Manager project.,George,23/04/2024,06/05/2024,,To Do,Low,7,9,Automation Bot,NLP,Medium,High,0.46,0.54,Increase resources for faster completion
464,User Feedback Integration,Model Training task for Data Analytics project.,Hannah,17/12/2024,29/12/2024,29/12/2024,Completed,Critical,8,12,AI Task Manager,integration,Medium,Critical,0.14,0.86,Reassign to experienced member
465,Data Analysis,Data Analysis task for Smart Workflow project.,Charlie,07/03/2024,01/04/2024,,Completed,High,6,9,Productivity Suite,AI,Medium,High,0.55,0.45,Increase resources for faster completion
466,Bug Fix,Documentation task for AI Task Manager project.,Charlie,02/02/2024,11/02/2024,11/02/2024,Completed,High,7,9,Data Analytics,integration,Low,Critical,0.03,0.97,Increase resources for faster completion
467,Documentation,Data Analysis task for Data Analytics project.,Hannah,25/07/2024,06/08/2024,06/08/2024,Completed,High,6,4,Smart Workflow,ML,High,Critical,0.98,0.02,Review task dependencies
468,Documentation,Data Analysis task for AI Task Manager project.,Charlie,24/06/2024,18/07/2024,18/07/2024,Completed,Low,19,24,Productivity Suite,backend,Low,High,0.56,0.44,Increase resources for faster completion
469,UI Design,UI Design task for Data Analytics project.,Bob,24/05/2024,10/06/2024,10/06/2024,Completed,Low,16,14,Automation Bot,AI,High,Low,0.71,0.29,Maintain current workflow efficiency
470,Bug Fix,Bug Fix task for AI Task Manager project.,Alice,09/12/2024,19/12/2024,19/12/2024,Completed,Critical,19,23,Automation Bot,AI,Medium,High,0.93,0.07,Increase resources for faster completion
471,Bug Fix,User Feedback Integration task for AI Task Manager project.,George,01/04/2024,23/04/2024,,Completed,Medium,8,13,Automation Bot,testing,Medium,Low,0.55,0.45,Maintain current workflow efficiency
